t_,theta1_,theta2_,omega1_,omega2_
0,0.2,0.4,0,0
0.01,0.2,0.4,0.001743699467259956,0.009727974903381011
0.02,0.20000724101481068,0.40008053676766203,0.0034620426832592957,0.019616383385008748
0.03,0.200021599271154,0.40024359828922484,0.005154195489336392,0.029670513676921934
0.04,0.2000429462970902,0.4004912883207134,0.006819263547458658,0.03989598727148216
0.05,0.20007114862574452,0.4008258347838487,0.008456288731500682,0.05029878029592445
0.060000000000000005,0.20010606748477427,0.4012495988615195,0.010064245260645156,0.060885246653290245
0.07,0.20014755847099017,0.401765084862977,0.011642035554672282,0.07166214310397395
0.08,0.20019547120955275,0.402374950936963,0.013188485789703887,0.08263665648087008
0.09,0.20024964899718398,0.4030820207200565,0.014702341131833647,0.0938164332520411
0.09999999999999999,0.2003099284288646,0.40388929601776796,0.016182260625064046,0.10520961166818803
0.10999999999999999,0.20037613900753742,0.40479997062748746,0.01762681170916488,0.11682485675826676
0.11999999999999998,0.20044810273640554,0.4058174454254892,0.019034464342577464,0.12867139846564657
0.12999999999999998,0.20052563369351148,0.40694534485502504,0.020403584705461417,0.14075907324956335
0.13999999999999999,0.20060853758841313,0.40818753496935123,0.021732428458616303,0.1530983695126023
0.15,0.20069661130094346,0.4095481432026009,0.023019133535574852,0.16570047725487924
0.16,0.20078964240226505,0.4110315800630674,0.02426171244801338,0.1785773423997925
0.17,0.20088740865871837,0.412642562968057,0.025458044089231902,0.19174172628497044
0.18000000000000002,0.20098967751933194,0.41438614246742456,0.02660586502745177,0.20520727086556126
0.19000000000000003,0.20109620558833083,0.41626773113468246,0.027702760290900397,0.21898857023540771
0.20000000000000004,0.20120673808457462,0.4182931354407034,0.02874615366121641,0.2331012491348405
0.21000000000000005,0.20132100829060393,0.4204685909660978,0.029733297512098005,0.24756204918146188
0.22000000000000006,0.20143873699491674,0.4228008013549883,0.03066126225830845,0.26238892363160143
0.23000000000000007,0.20155963193227758,0.4252969814658199,0.03152692551877814,0.2776011415537345
0.24000000000000007,0.2016833872283441,0.42796490523478004,0.03232696115011373,0.2932194023688006
0.25000000000000006,0.20180968285675,0.43081295883512616,0.03305782837803002,0.30926596178253035
0.26000000000000006,0.20193818411910264,0.43385019979197337,0.03371576135032533,0.3257647701962883
0.2700000000000001,0.20206854116125564,0.4370864227975634,0.03429675956440786,0.3427416247277617
0.2800000000000001,0.20220038854284217,0.4405322330672169,0.03479657979627365,0.3602243359897622
0.2900000000000001,0.20233334488159072,0.4441991281812542,0.03521073039127073,0.37824291074827926
0.3000000000000001,0.2024670125996148,0.44809958947280376,0.03553446909010686,0.39682975148680233
0.3100000000000001,0.20260097780596098,0.45224718414439685,0.03576280598335702,0.41601987371063415
0.3200000000000001,0.20273481035857358,0.45665667942501975,0.03589051375030991,0.4358511414876097
0.3300000000000001,0.20286806415994102,0.4613441702092974,0.03591214809157687,0.4563645211783732
0.34000000000000014,0.20300027775459395,0.46632722174412133,0.035822082273628805,0.4776043524752675
0.35000000000000014,0.20313097531403926,0.4716250290333029,0.03561456105224509,0.4996186346288014
0.36000000000000015,0.20325966811652904,0.47725859469931464,0.03528378104226407,0.5224593239402134
0.37000000000000016,0.2033858566563988,0.48325092704530104,0.034824006997759185,0.5461826360340631
0.38000000000000017,0.20350903355197567,0.48962725995980205,0.03422973664453907,0.5708493428325894
0.3900000000000002,0.20362868746404272,0.49641529604258683,0.03349593089550141,0.5965250492030008
0.4000000000000002,0.20374430829083276,0.5036454738196934,0.03261833175381962,0.6232804275424666
0.4100000000000002,0.20385539397349187,0.5113512590436531,0.031593897277534984,0.6511913796588377
0.4200000000000002,0.20396145933187815,0.5195694586833886,0.030421391947945034,0.6803390837636693
